LUGAR,CÓDIGO,ESTADO,TEXTO,
,,,,
SALA CRIOGÉNICA,,,,
,ARCHIVO_CRIOGEN_01,,Fecha 07/10/2087,
,ARCHIVO_CRIOGEN_02,,"He procedido a criogenizar a la sujeto R548W, Reminiscence White, antes de que lleguen.",
,ARCHIVO_CRIOGEN_03,,"Antes de hacerlo, le he inyectado el suero experimental, con la intención de ver como reacciona al mismo.",
,ARCHIVO_CRIOGEN_04,,"De hacerlo en óptimas condiciones, se continuará su uso prolongado a través del vapor gélido de la cámara.",
,ARCHIVO_CRIOGEN_05,,"Cuando se descongele, a través de la respiración y la piel absorverá los componentes, reactivando o fortaleciendo el ya introducido. En teoría.",
,ARCHIVO_CRIOGEN_06,,Con la esperanza de que el efecto se haga permanente.,
,,,,
,,,,
SALA EXPERIMENTOS,,,,
,PC_EXPERIMENTO_01,,Fecha 14/07/2085,
,PC_EXPERIMENTO_02,,Nos ha llegado el informe del análisis sanguíneo de una potencial candidata.,
,PC_EXPERIMENTO_03,,"Posee la mutación genética que andamos buscando para el proyecto ''Transferencia de consciencia'', aunque en un valor del 32 %.",
,PC_EXPERIMENTO_04,,"Seguramente, en un par de semanas, nos la envíe el gobierno como cobaya. ",
,PC_EXPERIMENTO_05,,"Estos sujetos no saben cuanto contribuyen al mundo y sobre todo a nuestros bolsillos, deberían estar agradecidos.",
,,,,
,PC_EXPERIMENTO_06,,Fecha 19/07/2085,
,PC_EXPERIMENTO_07,,El gobierno ya nos ha confirmado que está haciendo todos los preparativos para enviarnos a la candidata.,
,PC_EXPERIMENTO_08,,"Por lo visto planean crear un falso atentado donde la chica resulte ''accidentada'' y ''fallecida'', para evitar investigaciones.",
,PC_EXPERIMENTO_09,,"Seguramente manden a sus complices en la policía para desviar la atención de los medios, familiares y amigos.",
,PC_EXPERIMENTO_10,,"No puedo esperar a que llegue y comenzar las nuevas pruebas con la sujeto. Además, teniendo la ayuda de la doctora Dimetry, esto será coser y cantar.",
,,,,
,PC_EXPERIMENTO_11,,Fecha 27/07/2085,
,PC_EXPERIMENTO_12,,"La nueva sujeto de pruebas acaba de llegar, se le escucha desde el ascensor, la muy condenada. ",
,PC_EXPERIMENTO_13,,"Según hablamos en la reunión, lo primero será seguir el protocolo y operar a la paciente para implantarle el ''Shock Pulse'' en el brazo.",
